Sample	QualiMap_mqc-generalstats-general_error_rate	QualiMap_mqc-generalstats-percentage_aligned	QualiMap_mqc-generalstats-10_x_pc	QualiMap_mqc-generalstats-median_coverage	QualiMap_mqc-generalstats-30_x_pc	QualiMap_mqc-generalstats-median_insert_size	QualiMap_mqc-generalstats-mapped_reads	QualiMap_mqc-generalstats-50_x_pc	QualiMap_mqc-generalstats-1_x_pc	QualiMap_mqc-generalstats-total_reads	QualiMap_mqc-generalstats-avg_gc	QualiMap_mqc-generalstats-5_x_pc
BRB46_S7_L001	0.44	99.6569856099	0.385503000717	0	0.350697046178	182	1137146.0	0.327702114458	0.510049636406	1141060.0	45.2727731198	0.403088225895
BRB47_S8_L001	0.39	99.7894341928	0.389022309702	0	0.360704833484	154	1819344.0	0.344086314602	0.540919715314	1823183.0	45.755070618	0.404130774488
BRB48_S14_L001	0.46	99.7789028307	0.391416435949	0	0.366311503603	146	2603491.0	0.352984766814	0.511971729252	2609260.0	45.6121789873	0.40486203007
BRB49_S15_L001	0.49	99.763919002	0.387980893084	0	0.36315782241	141	2433658.0	0.349226611192	0.498372186588	2439417.0	45.2983488054	0.401852109649
BRB50_S16_L001	0.46	99.779182512	0.398450526021	0	0.370963919148	160	2412043.0	0.355737729005	0.532704975751	2417381.0	46.1159830671	0.414070643319
BRB51_S9_L001	0.38	99.7314786096	0.385687512575	0	0.355111747059	158	1408386.0	0.336888088216	0.513645919663	1412178.0	46.25544918	0.402475827645
BRB52_S10_L001	0.4	99.7952319929	0.405218602064	0	0.370640174416	183	1845623.0	0.351558478837	0.576332408231	1849410.0	46.5905816632	0.422677046089
BRB53_S17_L001	0.42	99.8344134664	0.387922030406	0	0.363651363329	146	2260324.0	0.349251514633	0.500187873822	2264073.0	45.8443865044	0.401783059199
BRB55_S11_L001	0.37	99.5880294807	0.352121070206	0	0.30109052394	151	681695.0	0.252503910802	0.527493364761	684515.0	43.208798619	0.371869498816
BRB57_S12_L001	0.41	99.5832835439	0.353934493491	0	0.285002901138	191	591693.0	0.217337988345	0.506195262944	594169.0	42.7729081088	0.376610208378
BRB58_S13_L001	0.45	99.6674081479	0.404340189786	0	0.374822820508	174	2643079.0	0.358903861919	0.803238977743	2651899.0	46.0790329552	0.421491868698
BRB59_S14_L001	0.45	99.6654040435	0.392198630388	0	0.362059807062	163	2032055.0	0.344674941386	0.695841757017	2038877.0	45.5447741078	0.408337192046
BRB5_S2_L001	0.42	99.7372879016	0.399513450156	0	0.360527113474	199	1228151.0	0.335550094256	0.546315838161	1231386.0	47.9238963632	0.419063783213
BRB62_S18_L001	0.43	99.8235401561	0.3814595875	0	0.35822014927	136	2224337.0	0.344659093742	0.499292481925	2228269.0	45.4574813797	0.394790852187
BRB68_S19_L001	0.45	99.7069918004	0.396861233703	0	0.372812433645	148	3156846.0	0.359613609984	0.543120273907	3166123.0	45.7471581197	0.410916962125
BRB6_S10_L001	0.43	99.7871298148	0.392462380466	0	0.366364706409	154	2299785.0	0.351450941252	0.562214421207	2304691.0	45.257130225	0.407811955839
BRB70_S20_L001	0.56	99.7516677069	0.382223670345	0	0.357393807823	144	1969066.0	0.342432499733	0.487258460112	1973968.0	45.1287314701	0.396771807711
BRB72_S11_L001	0.41	99.804201966	0.404559792856	0	0.372905255561	187	1907411.0	0.354997417626	0.571442278024	1911153.0	46.6046854737	0.421640157369
BRB73_S15_L001	0.61	99.413700806	0.415691630925	0	0.3854814932	192	2991741.0	0.368450935569	0.814053862928	3009385.0	46.9626242948	0.433245160814
BRB74_S12_L001	0.45	99.7508621407	0.380951330911	0	0.340219489419	191	886851.0	0.307905010941	0.497240212003	889066.0	44.8157443333	0.400969169472
